Epoch: 920, Train: 1.0000, Val: 0.7900, Test: 0.8180
Epoch: 930, Train: 1.0000, Val: 0.8000, Test: 0.8290
Epoch: 940, Train: 1.0000, Val: 0.7940, Test: 0.8250
Epoch: 950, Train: 1.0000, Val: 0.7940, Test: 0.8170
Epoch: 960, Train: 0.9929, Val: 0.8020, Test: 0.8260
Epoch: 970, Train: 1.0000, Val: 0.7960, Test: 0.8040
Epoch: 980, Train: 1.0000, Val: 0.8020, Test: 0.8330
Epoch: 990, Train: 1.0000, Val: 0.8000, Test: 0.8360
Epoch: 1000, Train: 1.0000, Val: 0.8020, Test: 0.8210
Epoch: 1010, Train: 1.0000, Val: 0.8000, Test: 0.8340
Epoch: 1020, Train: 1.0000, Val: 0.8020, Test: 0.8240
Epoch: 1030, Train: 0.9929, Val: 0.8000, Test: 0.8200
Epoch: 1040, Train: 1.0000, Val: 0.7920, Test: 0.8300
Epoch: 1050, Train: 0.9929, Val: 0.7900, Test: 0.8020
Epoch: 1060, Train: 1.0000, Val: 0.8040, Test: 0.8350
Epoch: 1070, Train: 1.0000, Val: 0.7920, Test: 0.8080
Epoch: 1080, Train: 1.0000, Val: 0.8040, Test: 0.8280
Epoch: 1090, Train: 1.0000, Val: 0.7940, Test: 0.8210
Epoch: 1100, Train: 1.0000, Val: 0.8060, Test: 0.8300
Epoch: 1110, Train: 1.0000, Val: 0.7960, Test: 0.8070
Epoch: 1120, Train: 1.0000, Val: 0.8060, Test: 0.8300
Epoch: 1130, Train: 0.9929, Val: 0.7940, Test: 0.8120
Epoch: 1140, Train: 0.9929, Val: 0.8020, Test: 0.8250
Epoch: 1150, Train: 0.9929, Val: 0.7960, Test: 0.8130
Epoch: 1160, Train: 1.0000, Val: 0.8060, Test: 0.8270
Epoch: 1170, Train: 1.0000, Val: 0.7940, Test: 0.8040
Epoch: 1180, Train: 1.0000, Val: 0.8040, Test: 0.8270
Epoch: 1190, Train: 1.0000, Val: 0.7940, Test: 0.8230
Epoch: 1200, Train: 1.0000, Val: 0.7940, Test: 0.8250
Epoch: 1210, Train: 1.0000, Val: 0.8040, Test: 0.8250
Epoch: 1220, Train: 1.0000, Val: 0.7920, Test: 0.8130
Epoch: 1230, Train: 1.0000, Val: 0.7960, Test: 0.8160
Epoch: 1240, Train: 1.0000, Val: 0.8040, Test: 0.8230
Epoch: 1250, Train: 1.0000, Val: 0.8000, Test: 0.8130
Epoch: 1260, Train: 1.0000, Val: 0.7980, Test: 0.8300
Epoch: 1270, Train: 1.0000, Val: 0.8080, Test: 0.8280
Epoch: 1280, Train: 1.0000, Val: 0.7920, Test: 0.8110
Epoch: 1290, Train: 1.0000, Val: 0.8080, Test: 0.8220
Epoch: 1300, Train: 1.0000, Val: 0.7900, Test: 0.8150
Epoch: 1310, Train: 0.9929, Val: 0.7980, Test: 0.8200
Epoch: 1320, Train: 1.0000, Val: 0.7920, Test: 0.8220
Epoch: 1330, Train: 1.0000, Val: 0.8040, Test: 0.8310
Epoch: 1340, Train: 1.0000, Val: 0.7940, Test: 0.8140
Epoch: 1350, Train: 1.0000, Val: 0.7920, Test: 0.8160
Epoch: 1360, Train: 1.0000, Val: 0.8100, Test: 0.8280
Epoch: 1370, Train: 1.0000, Val: 0.7880, Test: 0.8080
Epoch: 1380, Train: 1.0000, Val: 0.8000, Test: 0.8190
Epoch: 1390, Train: 1.0000, Val: 0.7920, Test: 0.8090
Epoch: 1400, Train: 1.0000, Val: 0.8100, Test: 0.8370
Epoch: 1410, Train: 0.9929, Val: 0.7980, Test: 0.8210
Epoch: 1420, Train: 1.0000, Val: 0.8020, Test: 0.8230
Epoch: 1430, Train: 1.0000, Val: 0.7900, Test: 0.8160
Epoch: 1440, Train: 1.0000, Val: 0.7980, Test: 0.8260
Epoch: 1450, Train: 1.0000, Val: 0.8000, Test: 0.8220
Epoch: 1460, Train: 1.0000, Val: 0.7940, Test: 0.8200
Epoch: 1470, Train: 1.0000, Val: 0.8100, Test: 0.8300
Epoch: 1480, Train: 1.0000, Val: 0.7920, Test: 0.8020
Epoch: 1490, Train: 1.0000, Val: 0.8000, Test: 0.8330
Epoch: 1500, Train: 1.0000, Val: 0.7880, Test: 0.8060
Epoch: 1510, Train: 1.0000, Val: 0.8040, Test: 0.8320
Epoch: 1520, Train: 1.0000, Val: 0.8000, Test: 0.8210
Epoch: 1530, Train: 1.0000, Val: 0.7960, Test: 0.8260
Epoch: 1540, Train: 1.0000, Val: 0.7920, Test: 0.8110
Epoch: 1550, Train: 1.0000, Val: 0.7940, Test: 0.8250
Epoch: 1560, Train: 1.0000, Val: 0.8040, Test: 0.8220
Epoch: 1570, Train: 1.0000, Val: 0.7940, Test: 0.8160
Epoch: 1580, Train: 1.0000, Val: 0.7920, Test: 0.8210
Epoch: 1590, Train: 1.0000, Val: 0.7960, Test: 0.8250
Epoch: 1600, Train: 1.0000, Val: 0.7980, Test: 0.8200
Epoch: 1610, Train: 1.0000, Val: 0.8080, Test: 0.8200
Epoch: 1620, Train: 1.0000, Val: 0.8020, Test: 0.8170
Epoch: 1630, Train: 1.0000, Val: 0.7940, Test: 0.8230
Epoch: 1640, Train: 1.0000, Val: 0.7900, Test: 0.8230
Epoch: 1650, Train: 1.0000, Val: 0.7960, Test: 0.8240
Epoch: 1660, Train: 1.0000, Val: 0.7900, Test: 0.7950
Epoch: 1670, Train: 1.0000, Val: 0.8040, Test: 0.8290
Epoch: 1680, Train: 0.9929, Val: 0.8000, Test: 0.8280
Epoch: 1690, Train: 1.0000, Val: 0.7940, Test: 0.8190
Epoch: 1700, Train: 1.0000, Val: 0.8000, Test: 0.8210
Epoch: 1710, Train: 1.0000, Val: 0.7920, Test: 0.8140
Epoch: 1720, Train: 1.0000, Val: 0.8040, Test: 0.8250
